,linqmap_street,linqmap_type,linqmap_subtype,pubDate,linqmap_roadType,linqmap_reportRating,linqmap_magvar,linqmap_reliability,update_date,test_set,NS,EW,event_time_hours
0,שתולים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20,1,0,0,10,2022-05-25 12:53:02.741000,0,1,1,792.7452058333333
1,בן סרוק,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-08-12 14:00:04,1,0,0,10,2022-05-25 12:53:02.744000,0,1,1,6862.882984444444
2,ארלוזורוב,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:09,2,0,0,10,2022-05-25 12:53:02.745000,0,1,1,2497.2649291666667
3,עולי ציון,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 09:38:18,2,5,317,7,2022-05-25 12:53:02.745000,0,1,0,3.2457625
4,עולי ציון,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12,2,0,0,10,2022-05-25 12:53:02.810000,1,1,1,2667.547447222222
5,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,10,2022-05-25 12:53:02.811000,1,1,1,2595.796058611111
6,סירקין,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 09:43:11,1,5,36,5,2022-05-25 12:53:02.812000,1,1,1,3.1643922222222223
7,סירקין,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 09:20:12,2,0,0,10,2022-05-25 12:53:02.813000,1,1,1,2667.5474480555554
8,דרך חיל השריון,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-25 09:12:37,2,5,184,10,2022-05-25 12:53:02.902000,2,0,0,3.673861666666667
9,שינקין,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 10:42:30,2,5,104,6,2022-05-25 13:53:02.594000,2,0,1,3.1757205555555554
10,שתולים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20,1,0,0,10,2022-05-25 13:53:02.599000,2,1,1,793.7451663888888
11,ערבי נחל,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 10:42:32,2,5,312,5,2022-05-25 13:53:02.599000,2,1,0,3.175166388888889
12,ארלוזורוב,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:10,2,0,0,10,2022-05-25 13:53:02.602000,3,1,1,2498.2646116666665
13,הר ציון,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-10 12:47:37,2,0,0,10,2022-05-25 13:53:02.602000,3,1,1,3985.090445
14,קפריסין,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-30 17:20:25,1,0,0,10,2022-05-25 13:53:02.602000,3,1,1,1340.5437783333334
15,לבנדה,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 10:49:39,2,5,14,6,2022-05-25 13:53:02.603000,3,1,1,3.0565563888888887
16,דרך חיל השריון,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 10:36:32,2,5,9,6,2022-05-25 13:53:02.608000,4,1,1,3.275168888888889
17,בן יהודה,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02,2,0,0,10,2022-05-25 13:53:02.608000,4,1,1,1533.8835022222222
18,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 14:42:06,2,0,0,10,2022-05-25 13:53:02.610000,4,1,1,2663.1823916666667
19,השומרון,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-10 14:00:03,2,0,0,10,2022-05-25 13:53:02.614000,4,1,1,3239.883226111111
20,בן יהודה,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02,2,0,0,10,2022-05-25 13:53:02.713000,5,1,1,1533.883531388889
21,בן סרוק,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 17:00:00,1,0,0,7,2022-05-25 13:53:02.714000,5,1,1,500.8840872222222
22,הטייסים,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 10:43:27,2,5,343,6,2022-05-25 13:53:02.715000,5,1,0,3.1599208333333335
23,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,6,2022-05-25 13:53:02.716000,5,1,1,2596.796032222222
24,רמז,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 10:50:22,2,5,4,5,2022-05-25 13:53:02.719000,6,1,1,3.0446441666666666
25,לה גווארדיה,JAM,JAM_HEAVY_TRAFFIC,2022-05-25 10:47:40,2,5,268,5,2022-05-25 13:53:02.721000,6,0,0,3.0896447222222223
26,לוינסקי,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-07 21:14:58,17,0,0,10,2022-05-25 13:53:02.721000,6,1,1,1888.6346447222222
27,לה גווארדיה,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2022-05-25 10:50:48,2,5,269,5,2022-05-25 13:53:02.724000,6,0,0,3.0374233333333334
28,משה סנה,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-25 11:29:34,2,5,352,8,2022-05-25 14:53:02.566000,7,1,0,3.3912683333333336
29,בן יהודה,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02,2,0,0,10,2022-05-25 14:53:02.567000,7,1,1,1534.8834908333333
30,בן סרוק,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 17:00:00,1,0,0,7,2022-05-25 14:53:02.568000,7,1,1,501.8840466666667
31,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,6,2022-05-25 14:53:02.569000,7,1,1,2597.795991388889
32,דרך נמיר,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 12:45:45,2,5,351,5,2022-05-25 15:53:02.569000,8,1,0,3.1215469444444444
33,דרך חיים בר-לב,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-25 12:50:57,2,5,282,6,2022-05-25 15:53:02.569000,8,1,0,3.0348802777777775
34,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,10,2022-05-25 15:53:02.570000,8,1,1,2598.795991666667
35,פרישמן,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 12:49:31,2,5,272,5,2022-05-25 15:53:02.572000,8,1,0,3.05877
36,בן סרוק,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 17:00:00,1,0,0,7,2022-05-25 15:53:02.576000,9,1,1,502.88404888888886
37,שד רוקח,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-25 12:38:11,2,5,75,7,2022-05-25 15:53:02.576000,9,1,1,3.2476599999999998
38,דרך נמיר,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 12:49:59,2,5,190,5,2022-05-25 15:53:02.576000,9,0,0,3.050993333333333
39,שד ירושלים,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17,2,0,0,6,2022-05-25 15:53:02.577000,9,1,1,2598.795993611111
40,קפריסין,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-30 17:20:25,1,0,0,10,2022-05-25 16:53:02.505000,10,1,1,1343.543751388889
41,רבנו חננאל,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2022-05-22 06:00:00,1,0,103,10,2022-05-25 16:53:02.508000,10,0,1,82.88403
42,ארלוזורוב,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-25 13:28:43,2,5,106,5,2022-05-25 16:53:02.508000,10,0,1,3.4054188888888888
43,בן יהודה,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02,2,0,0,10,2022-05-25 16:53:02.511000,10,1,1,1536.8834752777777
44,המכבי,,,,,,,,,,,,
45,בן יהודה,,,,,,,,,,,,
46,לבונטין,,,,,,,,,,,,
47,לילינבלום,,,,,,,,,,,,
48,אייזיק רמבה,,,,,,,,,,,,
49,אליפלט,,,,,,,,,,,,
50,השומרון,,,,,,,,,,,,
51,רציף הרברט סמואל,,,,,,,,,,,,
52,התערוכה,,,,,,,,,,,,
53,דרך שלמה,,,,,,,,,,,,
54,העליה,,,,,,,,,,,,
55,יהודית,,,,,,,,,,,,
56,סלומון,,,,,,,,,,,,
57,יוסף לוי,,,,,,,,,,,,
58,הארבעה,,,,,,,,,,,,
59,הברזל,,,,,,,,,,,,
60,יצחק שדה,,,,,,,,,,,,
61,ארלוזורוב,,,,,,,,,,,,
62,הגלבוע,,,,,,,,,,,,
63,קפריסין,,,,,,,,,,,,
64,עליית הנוער,,,,,,,,,,,,
65,הגבורה,,,,,,,,,,,,
66,אד קוץ,,,,,,,,,,,,
67,חומה ומגדל,,,,,,,,,,,,
68,בני אפרים,,,,,,,,,,,,
69,פרופסור יחזקאל קויפמן,,,,,,,,,,,,
70,יהודה מרגוזה,,,,,,,,,,,,
71,"ריב""ל",,,,,,,,,,,,
72,החרש,,,,,,,,,,,,
73,מלכי ישראל,,,,,,,,,,,,
74,יצחק טבנקין,,,,,,,,,,,,
75,"ח""ן",,,,,,,,,,,,
76,בוגרשוב,,,,,,,,,,,,
77,עודד,,,,,,,,,,,,
78,בלוך,,,,,,,,,,,,
79,לוי אשכול,,,,,,,,,,,,
80,"ש""י עגנון",,,,,,,,,,,,
81,יצחק גרציאני,,,,,,,,,,,,
82,השוק,,,,,,,,,,,,
83,י.ל. גורדון,,,,,,,,,,,,
84,וילנא,,,,,,,,,,,,
85,"שפ""ר",,,,,,,,,,,,
86,"מזא""ה",,,,,,,,,,,,
87,שיקוע קרליבך,,,,,,,,,,,,
88,שד קרן קיימת לישראל,,,,,,,,,,,,
89,היינריך היינה,,,,,,,,,,,,
90,צבי פרייגרזון,,,,,,,,,,,,
91,רוני,,,,,,,,,,,,
92,אבן גבירול,,,,,,,,,,,,
93,ירוחם משל,,,,,,,,,,,,
94,קלישר,,,,,,,,,,,,
95,אלנבי,,,,,,,,,,,,
96,רחל,,,,,,,,,,,,
97,הדר יוסף,,,,,,,,,,,,
98,יחזקאל,,,,,,,,,,,,
99,אהרון בקר,,,,,,,,,,,,
100,לאונרדו דה וינצי,,,,,,,,,,,,
101,דרך בגין,,,,,,,,,,,,
102,יפת,,,,,,,,,,,,
103,תובל,,,,,,,,,,,,
104,גבעון,,,,,,,,,,,,
105,ברנדייס,,,,,,,,,,,,
106,שבתאי דון יחיא,,,,,,,,,,,,
107,זלוציסטי,,,,,,,,,,,,
108,רמז,,,,,,,,,,,,
109,חיים לבנון,,,,,,,,,,,,
110,יוניצמן,,,,,,,,,,,,
111,אחד העם,,,,,,,,,,,,
112,פינס,,,,,,,,,,,,
113,הטייסים,,,,,,,,,,,,
114,ארניה אוסוולדו,,,,,,,,,,,,
115,הפרדס,,,,,,,,,,,,
116,"מח""ל",,,,,,,,,,,,
117,שגב,,,,,,,,,,,,
118,שמחה בלאס,,,,,,,,,,,,
119,ישראל מסלנט,,,,,,,,,,,,
120,אליעזר פרי,,,,,,,,,,,,
121,"רש""י",,,,,,,,,,,,
122,הנריטה סאלד,,,,,,,,,,,,
123,שארית ישראל,,,,,,,,,,,,
124,לוחמי גליפולי,,,,,,,,,,,,
125,הכרמל,,,,,,,,,,,,
126,ראול ולנברג,,,,,,,,,,,,
127,שלבים,,,,,,,,,,,,
128,דוד רזיאל,,,,,,,,,,,,
129,יבנה,,,,,,,,,,,,
130,הרב ניסים,,,,,,,,,,,,
131,דפנה,,,,,,,,,,,,
132,בצלאל יפה,,,,,,,,,,,,
133,לואי פסטר,,,,,,,,,,,,
134,שטרית (מנהרה),,,,,,,,,,,,
135,יהודה הימית,,,,,,,,,,,,
136,מונטיפיורי,,,,,,,,,,,,
137,גבעת התחמושת,,,,,,,,,,,,
138,מנהרת מנחם בגין,,,,,,,,,,,,
139,טרומפלדור,,,,,,,,,,,,
140,בן סרוק,,,,,,,,,,,,
141,"לח""י",,,,,,,,,,,,
142,ירמיהו,,,,,,,,,,,,
143,ויצמן,,,,,,,,,,,,
144,לה גווארדיה,,,,,,,,,,,,
145,לויד גורג,,,,,,,,,,,,
146,דבורה הנביאה,,,,,,,,,,,,
147,בצרון,,,,,,,,,,,,
148,ריינס,,,,,,,,,,,,
149,דיזנגוף,,,,,,,,,,,,
150,שינקין,,,,,,,,,,,,
151,שד רוקח,,,,,,,,,,,,
152,דרך יפו,,,,,,,,,,,,
153,מוהליבר,,,,,,,,,,,,
154,שד רוקח (גשר),,,,,,,,,,,,
155,יד חרוצים,,,,,,,,,,,,
156,שד ירושלים,,,,,,,,,,,,
157,"רא""ל יעקב דורי",,,,,,,,,,,,
158,בית אשל,,,,,,,,,,,,
159,ציונה תגר,,,,,,,,,,,,
160,המלך גורג,,,,,,,,,,,,
161,3780,,,,,,,,,,,,
162,העבודה,,,,,,,,,,,,
163,תל גיבורים,,,,,,,,,,,,
164,פנחס רוזן,,,,,,,,,,,,
165,שטראוס,,,,,,,,,,,,
166,נחלת בנימין,,,,,,,,,,,,
167,גרוזנברג,,,,,,,,,,,,
168,משמר הירדן,,,,,,,,,,,,
169,נחמה,,,,,,,,,,,,
170,יהושוע בן נון,,,,,,,,,,,,
171,יוחנן הסנדלר,,,,,,,,,,,,
172,שמריהו לוין,,,,,,,,,,,,
173,דרך חיל השריון,,,,,,,,,,,,
174,זבוטינסקי,,,,,,,,,,,,
175,גשר יצחק מודעי,,,,,,,,,,,,
176,מוזס יהודה ונח,,,,,,,,,,,,
177,סירקין,,,,,,,,,,,,
178,פוריה,,,,,,,,,,,,
179,ברגסון,,,,,,,,,,,,
180,אילת,,,,,,,,,,,,
181,הגיבור האלמוני,,,,,,,,,,,,
182,אוסישקין,,,,,,,,,,,,
183,סעדיה גאון,,,,,,,,,,,,
184,על פרשת דרכים,,,,,,,,,,,,
185,מאפו,,,,,,,,,,,,
186,נחלת יצחק,,,,,,,,,,,,
187,לבנדה,,,,,,,,,,,,
188,שטרית,,,,,,,,,,,,
189,יהודה הלוי,,,,,,,,,,,,
190,משה סנה,,,,,,,,,,,,
191,האומנים,,,,,,,,,,,,
192,מעפילי אגוז,,,,,,,,,,,,
193,יגאל אלון,,,,,,,,,,,,
194,רבנו חננאל,,,,,,,,,,,,
195,שניאור,,,,,,,,,,,,
196,אליעזר קפלן,,,,,,,,,,,,
197,ינון,,,,,,,,,,,,
198,הרב שלמה גורן,,,,,,,,,,,,
199,נורדאו,,,,,,,,,,,,
200,פנחס ספיר,,,,,,,,,,,,
201,אברהם שלונסקי,,,,,,,,,,,,
202,הרצל,,,,,,,,,,,,
203,דרך השלום,,,,,,,,,,,,
204,הר ציון,,,,,,,,,,,,
205,לסקוב חיים,,,,,,,,,,,,
206,משה דיין,,,,,,,,,,,,
207,עולי ציון,,,,,,,,,,,,
208,קרית שאול,,,,,,,,,,,,
209,פנקס,,,,,,,,,,,,
210,פרישמן,,,,,,,,,,,,
211,וייס אייזיק הירש,,,,,,,,,,,,
212,בן צבי,,,,,,,,,,,,
213,דרך אריה (לובה) אליאב,,,,,,,,,,,,
214,מאנגר איציק,,,,,,,,,,,,
215,החשמונאים,,,,,,,,,,,,
216,הוברמן,,,,,,,,,,,,
217,לוינסקי,,,,,,,,,,,,
218,שתולים,,,,,,,,,,,,
219,רקנאטי,,,,,,,,,,,,
220,טשרניחובסקי,,,,,,,,,,,,
221,הרכבת,,,,,,,,,,,,
222,קרליבך,,,,,,,,,,,,
223,"צה""ל",,,,,,,,,,,,
224,עמק ברכה,,,,,,,,,,,,
225,צבי פרופס,,,,,,,,,,,,
226,בני דן,,,,,,,,,,,,
227,בן גוריון,,,,,,,,,,,,
228,דרך נמיר,,,,,,,,,,,,
229,איסרליש,,,,,,,,,,,,
230,ה באייר,,,,,,,,,,,,
231,קוסובסקי,,,,,,,,,,,,
232,הורודצקי,,,,,,,,,,,,
233,המלך כורש,,,,,,,,,,,,
234,2040,,,,,,,,,,,,
235,רוטשילד,,,,,,,,,,,,
236,הכובשים,,,,,,,,,,,,
237,צלנוב,,,,,,,,,,,,
238,יד לבנים,,,,,,,,,,,,
239,976,,,,,,,,,,,,
240,פנחס לבון,,,,,,,,,,,,
241,הרב הלר חיים,,,,,,,,,,,,
242,המרד,,,,,,,,,,,,
243,דם המכבים,,,,,,,,,,,,
244,ההגנה,,,,,,,,,,,,
245,שונצינו,,,,,,,,,,,,
246,ניצנה,,,,,,,,,,,,
247,ערבי נחל,,,,,,,,,,,,
248,"רנ""ק",,,,,,,,,,,,
249,השחר,,,,,,,,,,,,
250,מרזוק ועזר,,,,,,,,,,,,
251,קהילת יאסי,,,,,,,,,,,,
252,וינגייט,,,,,,,,,,,,
253,מויאל אהרון,,,,,,,,,,,,
254,פינסקר,,,,,,,,,,,,
255,1185,,,,,,,,,,,,
256,גואל,,,,,,,,,,,,
257,קלאוזנר,,,,,,,,,,,,
258,דרך חיים בר-לב,,,,,,,,,,,,
259,הירקון,,,,,,,,,,,,
260,בנימיני,,,,,,,,,,,,
261,דרך קיבוץ גלויות,,,,,,,,,,,,
262,המסגר,,,,,,,,,,,,
263,איינשטיין,,,,,,,,,,,,
264,ידידיה פרנקל,,,,,,,,,,,,
265,ברזילי,,,,,,,,,,,,
266,"ביל""ו",,,,,,,,,,,,
267,נחום גולדמן,,,,,,,,,,,,
268,גלוסקא,,,,,,,,,,,,
269,המלאכה,,,,,,,,,,,,
270,שד שאול המלך,,,,,,,,,,,,
271,קלצקין,,,,,,,,,,,,
272,לינקולן,,,,,,,,,,,,
273,הצפירה,,,,,,,,,,,,
274,יגיע כפיים,,,,,,,,,,,,
275,הרכב,,,,,,,,,,,,
