OBJECTID_S1,linqmap_type_S1,linqmap_subtype_S1,pubDate_S1,linqmap_reportDescription_S1,linqmap_city_S1,linqmap_street_S1,linqmap_nearby_S1,linqmap_roadType_S1,linqmap_reportMood_S1,linqmap_reportRating_S1,linqmap_expectedBeginDate_S1,linqmap_expectedEndDate_S1,linqmap_magvar_S1,nComments_S1,linqmap_reliability_S1,update_date_S1,test_set_S1,OBJECTID_S2,linqmap_type_S2,linqmap_subtype_S2,pubDate_S2,linqmap_reportDescription_S2,linqmap_city_S2,linqmap_street_S2,linqmap_nearby_S2,linqmap_roadType_S2,linqmap_reportMood_S2,linqmap_reportRating_S2,linqmap_expectedBeginDate_S2,linqmap_expectedEndDate_S2,linqmap_magvar_S2,nComments_S2,linqmap_reliability_S2,update_date_S2,test_set_S2,OBJECTID_S3,linqmap_type_S3,linqmap_subtype_S3,pubDate_S3,linqmap_reportDescription_S3,linqmap_city_S3,linqmap_street_S3,linqmap_nearby_S3,linqmap_roadType_S3,linqmap_reportMood_S3,linqmap_reportRating_S3,linqmap_expectedBeginDate_S3,linqmap_expectedEndDate_S3,linqmap_magvar_S3,nComments_S3,linqmap_reliability_S3,update_date_S3,test_set_S3,OBJECTID_S4,linqmap_type_S4,linqmap_subtype_S4,pubDate_S4,linqmap_reportDescription_S4,linqmap_city_S4,linqmap_street_S4,linqmap_nearby_S4,linqmap_roadType_S4,linqmap_reportMood_S4,linqmap_reportRating_S4,linqmap_expectedBeginDate_S4,linqmap_expectedEndDate_S4,linqmap_magvar_S4,nComments_S4,linqmap_reliability_S4,update_date_S4,test_set_S4
94015,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,nan,תל אביב - יפו,שתולים,nan,1,0,0,nan,nan,0,0,10,1653472382741,0,94020,ROAD_CLOSED,ROAD_CLOSED_EVENT,08/12/2021 14:00:04,nan,תל אביב - יפו,בן סרוק,nan,1,0,0,nan,nan,0,0,10,1653472382744,0,94024,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:09,nan,תל אביב - יפו,ארלוזורוב,nan,2,0,0,nan,nan,0,0,10,1653472382745,0,94025,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:38:18,nan,תל אביב - יפו,עולי ציון,nan,2,0,5,nan,nan,317,0,7,1653472382745,0
94201,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,nan,תל אביב - יפו,nan,nan,2,0,0,nan,nan,0,0,10,1653472382810,1,94206,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,10,1653472382811,1,94207,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:43:11,nan,תל אביב - יפו,סירקין,nan,1,0,5,nan,nan,36,0,5,1653472382812,1,94211,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,nan,תל אביב - יפו,nan,nan,2,0,0,nan,nan,0,0,10,1653472382813,1
94479,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 09:12:37,nan,תל אביב - יפו,דרך חיל השריון,nan,2,0,5,nan,nan,184,0,10,1653472382902,2,97015,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:30,nan,תל אביב - יפו,שינקין,nan,2,0,5,nan,nan,104,0,6,1653475982594,2,97033,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,nan,תל אביב - יפו,שתולים,nan,1,0,0,nan,nan,0,0,10,1653475982599,2,97034,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:32,nan,תל אביב - יפו,ערבי נחל,nan,2,0,5,nan,nan,312,0,5,1653475982599,2
97041,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:10,nan,תל אביב - יפו,ארלוזורוב,nan,2,0,0,nan,nan,0,0,10,1653475982602,3,97043,ROAD_CLOSED,ROAD_CLOSED_EVENT,12/10/2021 12:47:37,nan,תל אביב - יפו,הר ציון,nan,2,0,0,nan,nan,0,0,10,1653475982602,3,97044,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,nan,תל אביב - יפו,קפריסין,nan,1,0,0,nan,nan,0,0,10,1653475982602,3,97047,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:49:39,nan,תל אביב - יפו,לבנדה,nan,2,0,5,nan,nan,14,0,6,1653475982603,3
97063,JAM,nan,05/25/2022 10:36:32,nan,תל אביב - יפו,דרך חיל השריון,nan,2,0,5,nan,nan,9,0,6,1653475982608,4,97064,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,nan,תל אביב - יפו,בן יהודה,nan,2,0,0,nan,nan,0,0,10,1653475982608,4,97070,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 14:42:06,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,10,1653475982610,4,97084,ROAD_CLOSED,ROAD_CLOSED_EVENT,01/10/2022 14:00:03,nan,תל אביב - יפו,השומרון,nan,2,0,0,nan,nan,0,0,10,1653475982614,4
97384,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,nan,תל אביב - יפו,בן יהודה,nan,2,0,0,nan,nan,0,0,10,1653475982713,5,97385,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,nan,תל אביב - יפו,בן סרוק,nan,1,0,0,nan,nan,0,0,7,1653475982714,5,97388,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:43:27,nan,תל אביב - יפו,הטייסים,nan,2,0,5,nan,nan,343,0,6,1653475982715,5,97390,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,6,1653475982716,5
97401,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:50:22,nan,תל אביב - יפו,רמז,nan,2,0,5,nan,nan,4,0,5,1653475982719,6,97406,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 10:47:40,nan,תל אביב - יפו,לה גווארדיה,nan,2,0,5,nan,nan,268,0,5,1653475982721,6,97407,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/07/2022 21:14:58,nan,תל אביב - יפו,לוינסקי,nan,17,0,0,nan,nan,0,0,10,1653475982721,6,97416,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/25/2022 10:50:48,nan,תל אביב - יפו,לה גווארדיה,nan,2,0,5,nan,nan,269,0,5,1653475982724,6
99491,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 11:29:34,nan,תל אביב - יפו,משה סנה,nan,2,0,5,nan,nan,352,0,8,1653479582566,7,99493,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,nan,תל אביב - יפו,בן יהודה,nan,2,0,0,nan,nan,0,0,10,1653479582567,7,99494,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,nan,תל אביב - יפו,בן סרוק,nan,1,0,0,nan,nan,0,0,7,1653479582568,7,99496,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,6,1653479582569,7
101468,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:45:45,nan,תל אביב - יפו,דרך נמיר,nan,2,0,5,nan,nan,351,0,5,1653483182569,8,101469,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 12:50:57,nan,תל אביב - יפו,דרך חיים בר-לב,nan,2,0,5,nan,nan,282,0,6,1653483182569,8,101470,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,10,1653483182570,8,101478,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:31,nan,תל אביב - יפו,פרישמן,nan,2,0,5,nan,nan,272,0,5,1653483182572,8
101490,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 17:00:00,nan,תל אביב - יפו,בן סרוק,nan,1,0,0,nan,nan,0,0,7,1653483182576,9,101491,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/25/2022 12:38:11,nan,תל אביב - יפו,שד רוקח,nan,2,0,5,nan,nan,75,0,7,1653483182576,9,101492,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 12:49:59,nan,תל אביב - יפו,דרך נמיר,nan,2,0,5,nan,nan,190,0,5,1653483182576,9,101494,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,nan,תל אביב - יפו,שד ירושלים,nan,2,0,0,nan,nan,0,0,6,1653483182577,9
103442,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/30/2022 17:20:25,nan,תל אביב - יפו,קפריסין,nan,1,0,0,nan,nan,0,0,10,1653486782505,10,103452,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/22/2022 06:00:00,עבודות-סגירה חלקית,תל אביב - יפו,רבנו חננאל,nan,1,0,0,nan,nan,103,0,10,1653486782508,10,103453,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 13:28:43,nan,תל אביב - יפו,ארלוזורוב,nan,2,0,5,nan,nan,106,0,5,1653486782508,10,103463,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 16:00:02,nan,תל אביב - יפו,בן יהודה,nan,2,0,0,nan,nan,0,0,10,1653486782511,10
